phone_no_m,city_name,county_name,idcard_cnt,arpu_201908,arpu_201909,arpu_201910,arpu_201911,arpu_201912,arpu_202001,arpu_202002,arpu_202003,label
b16920c8dfc8a0e1349db12d2d3285f77e31c6a6d3ed2a68725f41e628c0f98d5ce55bb71ca33e3bc52acbfaf946cd2bdae06142413dece51698d1a3444d2935,成都,都江堰分公司,1,,,,,3.09,1.0,1.4,1.0,0
7edc0ed9e4afb9648b18ae4517516ed1c641103c2f83dd3d4d75f56c9c01bd0e46bf26962bc343453579d1a858a4471ab7b864a81f33b0edb1cd558c34f79205,眉山,洪雅分公司,1,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0
73e9ee7e186d0483f568bc1227cfc407fb5548a441dc1943841c723faded61e1f9522da24287b565e1472002308fb8f0db9c5bfa67f4e1e0b48210c3da018629,宜宾,珙县分公司,1,74.05,115.61,126.12,181.64,116.5,104.7,54.5,54.5,1
afb879635550e8c192c9507e5481faa3e32b440a1809eb98dd6940ec675a5098225f834d1d08262ee0a00b3bf97b8b75fb620eb0c136228b3e3405173fe43fa1,成都,天府新区分公司,3,49.22,52.62,47.3,47.2,47.6,47.1,47.0,48.52,0
d374d619082ea422e8e99bb417beb4e860e49c3628bde9efccf8246dc977a010fce803d5c351dea47392f94d770f11c4ec40c34459f553ac161b78d7304fb1b2,达州,开江县分公司,1,79.3,79.48,79.5,79.1,79.4,79.2,79.0,79.1,0
9f5a6e330a5a45c879f6f6065d9a2e73d0053c425cd5b2b9ee0ac292ec40aef23e29b2d7f01207e44eceb0db0d4feb00559c67a7673637bfb5f7d9d49f9cbe4a,成都,天府新区分公司,3,115.59,122.56,115.76,115.4,115.02,115.87,121.4,115.41,1
6988a9ed8a63aa4b3c6945f625e3f9d0be3a376585d3e2f4e05c28e01a387161be31cd54d38e269780bf4b633ecc64f505cce2db6fb32a1a2bcb3d1943ab3897,南充,嘉陵分公司,2,82.74,91.75,82.54,82.09,93.67,117.43,159.66,110.72,0
c32f698c84a8ad2964b8b76c526d6c08ec5db44ff1d2e4394e19bb292f45aeaa216e006a3bafba99f86b7c69058d6c45d8cc7588ff5244bf149fa8bf4e5f1b77,成都,天府新区分公司,2,,5.14,19.0,19.0,19.0,19.0,19.0,57.01,1
8b9179c987165956a6221eaf4c738182f59a07a13ccf4b3957e1ef2f5633ac1325efa9aeb94a1fa1d6e87ba854e13f994a15af06f8698d8f2a8b0adb1df4f53c,成都,郫都分公司,3,,,,196.41,,,,,1
168aa25a3c9d315165077fe4ce43cf809416bc7d075c34513c7c03d1356f6d9dd54103ed93ce05ebae0de6bff237e1ec945d250aa17823ed828e890e2ce615e1,泸州,龙马潭分公司,1,,1.0,29.0,29.0,29.0,29.0,29.0,29.0,0
5f16fe8f53b70292de45477651ae40457d9e251b2812b934a44ac6e75786442078bbc5e521ee9d2c4589b21ab0c0e75e123f36b794d5f17e65fb6841a4eb7fb5,乐山,犍为分公司,3,169.0,169.0,169.0,169.0,169.0,170.1,174.3,169.0,0
becad33ef685aa51b1c6ead188193059f7bb2008c074fc77fc8619355e0bfff502b64569c660d78bf0ca4c4d843b1b68b8275a64856fd983ed47d741225a83bd,雅安,天全分公司,3,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0
928df9be4c3e7304c83736a39aa81fa9fe3a1c76e01710e6581b0277ebced37390ce2472560921e7d62b2289eba6fb14eaaf9eff1a095dbcc2e872db6826650e,成都,青羊分公司,2,,,29.57,59.9,58.9,58.9,58.9,58.9,1
51fe5bf2476c2fc6903fc45bcec063ec8a16adda2b738dd620f062287d91b234abbbf3e68e01e9c63de97bd38bbf041a5571dbac501834012d4d529c6560d86a,乐山,嘉州分公司,2,50.8,31.4,41.6,33.2,28.8,43.4,26.4,27.1,0
a7aa19e6e8ea1ccf49dae947a55a85d3001fb347ecb79588fa54410402e2660423fd7f28b14303110f2051e36d84943029d4178899ad53df185b6e8121c98956,宜宾,兴文县分公司,1,44.2,52.99,54.28,45.32,45.1,49.7,43.5,43.76,0
433bbcfb740f49bbe2392c84158445bd7648367d8ad05180cd55f8236dadf9c80ac7f27f037fc88507d00abad2604c60ef761566e6035c8f24ef4972fff2211f,成都,金堂分公司,2,21.0,15.0,11.0,13.18,11.0,11.36,11.0,11.0,0
0dfe7b8fe532ae4b85f64ef11aa478e2abae8d0c92d8118f0169c43600dc7d6af517139f1b8c5305ad5ba7b14d03812a910962649881d3be1af39434f350f6eb,成都,青白江分公司,5,,,,230.04,,,,,1
0708b0ebd50a7eefd2040b84c4a20c10531d088bdc8eef5f8a59af927217c68232b6b98670250927610fb56e3f3e91f25f07bfb4b8b00e52788766eda944e03e,成都,新都分公司,2,174.43,204.58,198.85,206.54,205.84,198.75,208.81,198.7,0
327135277270d460b7664eb975452b646630adda11cc27ce0804a7ce8b513ed6f7853a9c8c4273b319794b95413ebab24ba494055a4e6bdc75ba82cd109e6436,遂宁,射洪分公司,1,71.6,71.7,71.6,73.0,73.0,73.0,73.0,73.0,0
bdfc6bac42ddb200415f38f5b53401fc3ea134f0ec5cfe67fc2e6c23f13fd7795cc800b8fba90cc7c06a458c5afe2d578a76dbd4168b00e5472f854d66bed284,宜宾,筠连县分公司,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
337adca02abb4e2b17d9706912658a9b1d782099d3f85ccb917082c0eaed84de4edb025f53aa2ef8417f178a569ac2e9ee9ce8658f7365dee998041f9e14cc7c,遂宁,蓬溪分公司,3,117.91,117.64,119.42,119.2,131.02,124.01,118.82,119.41,0
f844226258c3cfa19969797e3e183a4cc15c29a17eab96bfd1f2e87e383eeda8b560dbf582fd304a73e7eadede7ec762eb264aa6df42080376d348bdfaeac934,成都,金牛分公司,5,,,,11.09,19.0,23.99,23.5,450.44,1
c8e86aa23e02cbecfd5fe9187f7a25c3e7f9d662a429ed17bcd5db1cbce7fddac6922964415a96e14cc10fbaadf539a5b8605bbd9b687ff06cb797e50a9436d2,成都,新都分公司,4,,,745.26,94.62,19.0,,,,1
9c3bfd848bfb72073cc7df767c29685d96aa3c8ffb456cf7b2efa129620ac95ed46a3da487c6f67c6a84b8b7ac25c1e440affc941a173c926a9c94573769fd14,成都,武侯分公司,2,52.26,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0
2303b7c370a7a60d5f0e113dd0fa15b16d2acd01f9aab092151d4ba158a14e87fdeb7bee2ef7f0e64388d3ec013ba807493489584d1b4b37b664a5cb83df0ffb,成都,郫都分公司,1,102.6,103.4,102.0,103.2,102.0,102.0,102.0,102.0,1
09bf4bae88366e9cef06567ee5d5ef62ebc59da995bce77e5bdc381c2c4d4cf804bfff26641c034e3b965a13988f2f566110fcbd9149558819ff16dc2fc07908,眉山,仁寿分公司,1,61.1,61.4,61.1,61.0,61.3,61.2,61.5,61.5,0
65cffa7e3a8bf03ef12e5a1b6a97b9e6c685c7fa417e38931e92218736d38e82ae18019c8522afe44e4794d979096429fe5c73d32167e76d592230ac577784ea,成都,青羊分公司,1,113.51,106.1,112.27,156.66,159.23,106.6,106.1,233.8,0
6483e27cf219ce1ad8c8877471b79cbf76ac8cc92f1743629d51c9856ec06881e703a12645e36a151a063510fce895594cd85a69bb175698f6f961ef6b3d2b05,成都,天府新区分公司,1,14.0,14.0,14.4,14.0,14.2,14.1,14.0,14.4,0
5bad86c505fa1165d8863be830c743570bf2cd6dbf4a5941f1bfc1850205c0906d519b3c18c2fc13247d851d3ed255b70aa9ef366f0c73f4f457d0b700e2d072,广安,广安区分公司,1,2.0,2.0,2.0,2.1,2.0,90.0,2.0,2.0,1
10eeaa0f0c193824abaf0269ebcf3eaffcc1b83657715325cfbe9ceae27e839779d57eb41e7d0116ba4973144b20dbc0928687b37bb96931a9756142dc63afd1,成都,双流分公司,2,4.11,10.79,34.54,4.3,4.0,4.0,4.1,4.1,0
b14d9ddf92d9ce73bcd974a58e0efecd2012bfe87f8836a9241c4143bd650e657505007735f099a3fe0965ef282854263695acc8f1e66a5586dbf0334c6f5d1a,绵阳,江油分公司,1,36.29,38.63,41.74,25.38,34.73,25.22,52.14,30.7,0
04f29ed2cb3114ab3315155040b1ad0d76566b59c14fdccba1d275daf6f7b5c873ceb926bd0d401cc0b9c678ff56b6628d6c61af1c8ad65bc66f2288b61549eb,广安,广安区分公司,2,2.46,4.09,5.26,4.1,7.37,5.68,3.65,3.68,0
4a50a082ead1c5691e8c44b2a74a59042798c616d2c8987e265dce1052f0a2f362dd863e755ee495ff92235b593e88d7eabab0b9ebfde1db765275666ad13d6c,成都,郫都分公司,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
da99c3ade3eb00815a7654acc8e03329d75973ac5e2064e36adc45322b4064d5f7f01aedc2aaeff1288a6f7db04ad890f96bdd8346c3e0a8f41711a4077018f0,绵阳,江油分公司,1,,,,1.0,15.0,,,,1
95ca76270ec248574d2d0669bc0fce822762186d051f3a58d8312f950742c3642fbb87619a3dd95c1f6b4a13e5e3c848ee4ee307c55bafb37635d8abffcaf09b,成都,武侯分公司,4,,,,,,,,54.77,1
241be67e13e2ac318e7080f87345ced8bd7b371f88f648e1fb16eeb0d0727903699b47cea6810b99d7af3abef195b32275d03eaf6749e4fcfa0f180a050f624c,泸州,纳溪分公司,3,60.2,59.3,59.67,59.1,59.27,63.7,63.3,63.6,0
414846c4b6d9de93a20181adc38bdd28ac890e7e5f67e106b8d3609ab447ad6b5144e570f5dfa0d0a271ec2852c29a7c9daad47fe605fef7957feecfe2d30a44,成都,温江分公司,4,1.2,1.0,1.0,1.0,1.0,1.0,1.1,1.0,0
362a7f337d324bb024018733b1d4a3462129aa08459661ba9d665f1c30fdab6ed11f5febd1dd5c8d8067b952cb3d27a998a26cbae09769104a7efff1a1aacfe1,雅安,汉源分公司,1,157.0,157.1,156.9,159.0,159.0,159.0,159.0,159.0,0
4a692ea1b3346b6168d945ed42630a7319d1536f8cedb467f0d70fc187662c2c5a739f143c314af3e9bc373a0d02344e64d297ccfd1d41f3cd6f7fcb6d0e4428,成都,简阳分公司,4,,,,,,46.66,,,1
c2738cec3205dfcf3850bbf94cc975eb6cc35c0518943b17c7b96158f810a211195917f5ed780cf7ffa74bb650f2e62c1b3608732e8898d12ec569241ec206bc,天府新区,天府直属部门,3,117.62,151.67,124.08,161.35,103.3,106.41,79.12,113.37,0
931573aaba554b1c0c76fa56d35f0aaf41469064c493d515f36ae1c95998aadcb8373b540da6a1145804bde6c8884748709f28f195f3c27abd1ca4e5cac3d184,攀枝花,江北分公司,1,31.97,28.93,62.63,45.3,24.56,23.99,20.0,20.95,0
71ce0be5779db6dc5f96ef0e24a5d0fbc6d9ea80cdcd2822e51782c219e0ec0269418c52b62da9ec07fd9bdf3bf8bdf49efd4daa1f016f3b3078701de82690cd,南充,南部分公司,1,25.27,28.69,26.13,27.17,27.74,22.42,35.15,53.77,0
e38ee69f77d942aa45e81ec7da9f5948ac527b081f3af9e78f348fee944926fc0a644cc88cbec3e05c1976b7f2c8f1f6e153a96871abad25a7ee3a566352df5d,绵阳,江油分公司,4,174.5,174.5,174.5,160.0,82.75,75.05,79.9,99.95,1
3d78ba390b7d395362c3c12fbde309cae8a8c2ca77ac5c4255ce4523245988d3e4feb9d59beaf7d696e58287ba5ca81743ae5f17e76ff8e4cdad3661f983c318,成都,邛崃分公司,2,22.0,22.0,22.0,22.0,22.39,22.0,22.44,22.0,0
9455808b8c83066f6a80aaa367642c43e7a8c5b7fef271e4c48b8cc69b63990e967818ca756a78b031a00a0ccf10336bb29b7b45e439da7d38418bcf4cebd030,天府新区,直管区,3,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
c1b0dbcdb4a01d72cc485fbbdd9ed4c2e64bde80ebb0ea4fd76bad8f7636d68d07d7d6d6f6191c0b4ab40e9507a177e8b0760507fe6448ef8c1d30d450d0f789,成都,都江堰分公司,1,21.8,16.88,15.62,15.62,17.24,17.24,23.18,15.98,0
1c4794c2552aaff2b93e7e048d31c57df435fdf522ff09d30228cc62fdce6f267a071c76c9e005d58973a61abc9d152aa1245f7b52d63104981fea372353e392,成都,青羊分公司,3,1.8,1.0,2.0,2.1,19.1,19.1,19.2,1.2,0
bba99642353deab564eb8bbef86ea8db5f84a2869ab9a1eb8a0fe2eda77b164894fcde2dce0a03c8507c3e9a0f1cdb62753d38cbd9a5cb69afbe087779a213e5,达州,通川区分公司,2,53.64,50.0,50.0,50.4,51.0,53.4,51.0,51.0,0
41a974d72a9531876b910c02b581fa219d6645c62835777a918dfa505560a93afe1dcc61d532499435ddeffa9ed8bda510614fba285eaa30072875e13c2c1695,德阳,绵竹分公司,1,31.41,42.62,39.77,32.36,24.0,29.7,25.52,30.08,0
d4264372c04594af0970fdb34162db7d90779f4c645618fb9bbb5e1c38c61d6457ae4c7add3823b8f247684f8c0167bbf4e690f4d4808aea53bb34a0caf416ad,雅安,汉源分公司,2,49.1,1.0,1.0,12.41,18.66,1.0,1.0,1.0,0
ea03abc1773b9a0b84f0b05e8b3fe0b793fb89b3b201281e6fc7d32c31ebf271e274e5b7dbe86aa126209115ea0f8f33afe6f7dacddf46406d3275f8dda4c4a2,广安,广安区分公司,0,2.0,2.0,2.0,2.1,2.0,155.6,2.0,2.0,1
b2c0275146e922bb1c5534a105c3394465c3702c43ea2484027058629b4055e21e23a98d584330e0722e2e57a2fe503294b8d5bd17c195c61fc0fb64e94dcb8f,凉山,宁南县分公司,1,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0
b579851a3638f4b178cbc85cdfcf6a10ba9b26b1b736ba5387ef59d1b2955f6e7f9e47625a0a83e5e577b45f4b9e19381c33f4f845ba3ade8f788b6ca405b8db,南充,高坪分公司,1,,,,,23.76,18.9,24.4,18.7,1
ce7169d9559034b663e57c3d9ee4fe07b32b4b42a1641f2ffa0dbfe16acfcb14b29a191bb762dd8cf37e0a29049eeaac473258315383aec01c4bd07644a2b8b9,遂宁,蓬溪分公司,2,5.44,1.07,1.13,1.12,1.11,1.11,1.11,11.82,0
ff695802a9d2dca6235f4f72fd5be0164819bf9ff0a347d780feda4a26c5cfc745eb7d2e25f832cb2ef85efa0fdfede484ff06853c1bdd2c662d0074365b7156,成都,郫都分公司,5,,,,144.97,,,,,1
a6d3c390f393c38d5fb2690d1ef95f040dc967e799769ab675ecf8620d985372864b1eaddf8fb6396125908c49f283c71e4d330fe5c84dcda51a5cd4afa3c4ee,成都,武侯分公司,1,27.54,32.7,22.25,50.39,93.78,22.0,22.29,22.1,0
f80d6ed449d9325b97dbc44a52a2ed33267cca4212a5114639adc9141dfd0ada392da215c0bb5a7c016ac0adb8d4c49334519d57f7aa78897918881e5a8262ca,,,4,75.3,75.1,75.0,75.0,75.3,78.6,75.08,75.0,0
9ecd797bef0dd52d5a867b838739da9ae09791eb96191208e9520d6e375bae5f86604a01e8d86eacbbc03389dbb6efadce233ca7894d876f78be801c345f7b67,德阳,什邡分公司,2,21.19,21.0,21.1,21.0,21.0,21.38,21.0,21.0,0
e496e5eac8dec583d8023970bda5c3b041f58eadc3943d312c4bcfed1050c71edf27b703e0382e456cef379e734f07d9e19a5cf0df517023c77c03f230c423dd,德阳,什邡分公司,3,,,,,,,11.94,19.2,0
d676fac5508cbc96fcf97f44b8536ac47a285f78b989a30fdf30ee695b5d77c88928e984c07a2b43f88d57bb33ee820971e55e3dea9b5a5b21d8f086b7733d33,天府新区,双流分公司,4,19.0,19.0,19.0,20.1,25.0,25.0,25.0,25.0,0
4e3f0a61ccc25517da1e939d712318ce7eccc04a1cdb0f2b41ea5d31a10f8270f73dac7f0e1534a286305d05a0ea8018c86298b210e48f82be71957116b46151,达州,宣汉县分公司,4,101.05,50.84,78.99,20.64,91.47,74.99,99.0,9.0,0
525824db5fb3ee7438244c5ca2f190cc48760352b1894c230b985ace3c89199fd1f37f0656cbf895dab5891333562a57ff54c7cf82ad863d327789f8266f619c,绵阳,涪城分公司,1,20.0,20.0,20.0,20.2,20.0,20.0,20.0,20.1,0
6b4999280b1f69a44e4e4b4d624e7d2055a1a407b449ebe1da613a7d79c42cc54c8d52798e7fc57423adbeb6a81dbdfc7e2a44b49423455136a86206dec7a3e7,,,1,,,,,,,,,1
161f58047b9be4c628bfd9f7b67a15284833b392222f09d03b9fa791aa7f2216e57a36f5c001ad97cd07093fac43e8bb1ade4c9aa62c1d68aa34b622eb1bd29d,天府新区,龙泉驿分公司,1,24.0,28.43,48.9,60.88,44.81,34.96,48.02,60.23,0
6f8a69645b4f0cc5f86831c31e676cd904f2ab117de3bc1830590f0696ed11dd123306a42e4aa057206a782168f8f32f89db87a8f74f3be89409d07203d95cfe,巴中,南江县分公司,2,1.0,4.54,4.45,5.6,4.73,4.46,1.0,8.11,0
f92cacfa31e0196f1b17cb3dfd35219ac24f69ce5fea0e0ca0431e534a10fb524839492cb37f4e9d35f40626d1133f4f55721343f260dce070658658de25a64a,自贡,自井分公司,1,,,,,26.45,27.5,505.09,64.63,1
acf4302ef9b9c07d50620536837aab3c5a560dd9e2f126f00c7e98d223b0bea08ee49db2a21016b32dacdf780ce0e46454515e59bde27dddeec3cdd18e6acc2c,遂宁,射洪分公司,1,47.45,47.0,49.74,46.6,146.5,47.1,46.5,46.6,0
8bf8909ea569cbb80edc6395020c0503ce1361da13f4e04df6f9f9cf084eae498e1d0732ad228a52549b2608ecb5451d79e84a78f2b2b3d596ba6002d0a6ab78,天府新区,天府直属部门,2,61.07,61.0,61.0,61.0,66.2,68.16,61.0,61.0,0
3f87beca3cf1938a323f1084f56d71d6284dd381cdaf1bd785a7a14ddc6d5838a6ea3303244e470c1ccbdd2aac199019936c2b4c669d7c9a05bd996a738c1bde,天府新区,天府直属部门,1,,,,,,119.5,62.87,163.82,1
11e307a907830c4dba3dbb989044b971ff67c350048f38b9b570fd6ef7e6d273102c4bef77bc70a9d9f14a9d44472baec3a3347c7c4fa819d8a19b3db0b608fd,阿坝,茂县分公司,2,205.5,206.75,205.6,205.6,205.95,205.7,205.5,206.0,0
b5682d487b21df5a71944f50dd2399b5a1547d15073f900a3c6e1567fcbecd64f497f1cfe2b34096226986e48199d9e80e0733db4931d5d9fb15f71b9ec0abad,成都,郫都分公司,4,,,,156.38,,,,,1
4d247de32fbb3f5f8504b4d3036b781f096d6c6437bdb1305cf23f62055a4416af83148a106927d00b1927b6066cc377c893ea2a7c98841f5996902ac49a7a8a,天府新区,龙泉驿分公司,4,,,,,,18.67,19.0,29.55,1
22bbf6dbbe19f4cad16e8c93de710a897f9a7884af7ebb1bacb1fd1b0a7c6702ee68d42faf26c2e277faf02f895a2fafa2dec06f7ba5867744fcb725e202e563,成都,金堂分公司,3,,,,,,,31.3,9.2,1
370d117d03ff926567f670a9cb819b9eadfee7377fe1d902111f878f41382cf3c4b6027a7c466b3e7e1f682b86a122d9d500c170054a75466a1bcf54fcd8f6ef,成都,武侯分公司,5,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0
42c2e62ef45767f4689f1cefbf0ef2cb3b6dec1fe1703767b5637d7bcaa4ab5841e74a9356191e2a7867a3300f793d65eac0a6e0c3d6948fc6c8b9a7c66ae834,泸州,龙马潭分公司,3,150.0,150.0,150.0,173.7,173.7,179.7,179.7,174.7,0
fd74ea3c10279c57b36fe20117df621976034b80255420eb29020451673ee849b25b453311a199226813450d295bcc2466df07d08f0384567ab46a294aa4dff4,广安,岳池县分公司,4,112.94,112.64,112.74,148.74,149.05,148.65,148.75,148.74,0
99310554ef73007c32fc9b7d376726b0da9d6d57747bccbc7288a772dc63e891bf53126ffe87e66fa3502e3f8341b578f5212a41d86ef9ebcb76380e876dbfdf,南充,仪陇分公司,2,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0
bceae2602111c30db3885cbb929e68d025f637691bce3776da3858f1ef0b3c9b98ae6fcfd4491881cbb1611d6fda7b44c4163cc451f48156499c629c0f62f952,达州,通川区分公司,1,286.96,227.27,219.25,211.2,206.6,206.6,204.7,239.31,0
dc366a0235ac9e14aad09093c9d9e9e57c17a966c2e0ed06ed0e557c3711b9085fa8c0d1cbf9afbf483156c0a4f2011c3dca65a72147f5fdedea60842078bd88,自贡,荣县分公司,2,55.1,67.16,75.9,78.18,69.48,81.7,89.01,78.19,0
124911827db9c2ca0a17ebb423e9a9f1a2c333a669952507ae68db21a6ac014ef3981cec9b1f9111bd2a3dda798bddf1ea0315bdcd847ffab1213f8f68831aaa,天府新区,直管区,4,211.9,209.5,67.55,59.23,78.26,73.32,195.2,96.35,1
425af8f2bf8c832d4d091d478c104b5f983ed9ed1ba9d7b563cd426bbfa53af8896a79acf44024a6b553e22f405fb29ca1b6aeaaa93e6baa92139d45dc4dfe2b,德阳,罗江分公司,1,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1
643f65ebad77220970428475cac6811d5d397136d2e16deaf86220376bc588388f6891fc3b4df04b72c2443de06e12e93b13e66f0a4ddf19cdd42339ee08e433,成都,彭州分公司,4,1.71,1.29,1.24,1.17,1.24,1.09,1.2,1.12,0
97d8a96988167369f8986471ded58aeb04a0de0043fd0ae262b59d0e0b3647de8461f99417edf2c642835e70ef814bf94783e83c1292c465a756a10033882d18,自贡,自井分公司,1,59.2,59.3,59.1,61.4,61.0,61.2,59.0,59.0,0
cdf8b5f08bd0a8e3c08fc58b394bc1146a8ebee636b80881666df5d503594d757c2b3b4429a01a3f50b62d7b372f8df6524f35549925ae5a39e31535c3431820,成都,锦江分公司,2,,,,,,35.03,49.7,49.6,1
e91fe75ae37074fb0a7965fac0181665ce88e14470b2c4a8ee669bd4d16eb427b754987c0b7d84ffec4a500786af0162ade0558fecaca071725382e26c0da34b,广元,利州区分公司,1,22.95,22.0,22.57,25.04,22.76,22.0,22.95,22.0,0
effa96bfe62b1940086c5fa61bf74cee451ddadc63a38ffa13003a145bb7932275401ccbd06014f17c3c273067d60af1a9a0790b52522837d90829a5ab6d6083,遂宁,射洪分公司,2,30.48,27.43,27.48,27.52,27.56,27.41,27.7,27.57,0
73a17676be7be448f954bcae65e69706c5733a568a3b7f1990118af28af57841d4a9b578881aa7f1356ef404aa229e458611721f80e3792676f03998fbf424b8,雅安,雨城分公司,1,74.94,55.61,59.6,64.16,63.21,81.07,52.0,52.1,0
d236b5b4bd400dad28f137ce9f3faab65f9f70d0dbe4fc9ae584bf4e82d4abf582c22093b491defdac8d61d5baac8ec9f972770af47b86f54f07f3675360c772,成都,新都分公司,1,9.03,9.14,9.04,9.0,9.0,9.1,9.0,9.0,0
55eb7a4c0dec67d556ea4464c56c4453cb63ab0d7eb35344f702d61516c269f74805dfa021131c6c729af5674e4450dde529d71bdc131b92764f76941271a8e6,绵阳,涪城分公司,1,69.0,69.1,99.0,119.0,119.0,69.0,69.1,69.0,0
0c25bc64de43130baaf9787fea20b3fc5efc20420be40f15b040e2517d9bb1f148173cca87be3f67580d97aead9cc1750653ba09581e37ce5a829241b34ea69e,泸州,古蔺分公司,3,377.31,242.54,225.41,206.5,240.33,204.2,202.9,278.64,1
917eac6ad8a42babdb5705075dc5fb771c75da06e6fbbaac6fbfcafff711619c981f987308c6a4ee4595670efe36df7a01c00caeb4ebdb9248c6101320b6edee,成都,锦江分公司,2,61.0,61.0,61.0,61.0,61.0,62.35,61.0,74.88,0
e56bde9f85fe201fe546cd83b43be86f89f562f271aaec9ebb3752a1d0588bd633c22a640b4cb89cee5ee8f6c82dc0133da0dbe81118c00ba70377a39d037df3,,,2,,,,,,,,,1
35858d177acfc722b04d380efd943575943d34445c9f13841f556d5a7ca55cc06c6d5a2027884f950581fcda862a37d686ab6202960883ab5cb6a88584ec5a4a,资阳,雁江区分公司,1,13.73,13.67,13.79,153.5,802.11,722.01,268.36,1.0,1
87d002f196db379b7ffc71290dabbff5783ffdb7435e7cfbac073583c4d9b0b8b69fa21b8c950204e27de72796936e1324e120b0264f4417ae59932a708bbd1a,凉山,雷波县分公司,1,137.27,144.75,137.76,138.46,142.16,140.18,134.92,142.67,0
7b6fb0d3c5ad6e440a8871aeb925879e3ac2658f0910cfe81ff94fcb8ad4519eeefad256cfe4722e0c949e22fe4b3d106c82bbc0551a0fcd5744994b4f270539,成都,锦江分公司,4,,12.49,43.0,43.0,43.0,43.0,43.0,43.0,1
